70 real tables (status ok)
name                            T   D     margin exp_final  exp/D exp-(D+1) gen/T2W2
T7/base960h__torgo_ctl__torgo_ctl_0  359  59      6.318       105   1.78        45    0.067
T4/clean/P1                   240  64      28.99       114   1.78        49    0.126
T4/clean/P14                  112  21      30.87        41   1.95        19    0.074
T4/clean/P8                   255  58      42.17       107   1.84        48    0.103
T7/base960h__torgo_ctl__torgo_ctl_3  322  72      82.23       121   1.68        48    0.094
T4/clean/P0                   292  90      333.4       152   1.69        61    0.141
T4/clean/P12                  268  52      718.1        87   1.67        34    0.095

margin <1.01 : n= 7  exp/D: min 1.09 median 1.61 max 2.08  #tables with off-path expansions (exp_final > D+1): 7
margin <1.1  : n=24  exp/D: min 1.03 median 1.83 max 57.57  #tables with off-path expansions (exp_final > D+1): 24
margin <1.3  : n= 9  exp/D: min 1.18 median 1.76 max 3.00  #tables with off-path expansions (exp_final > D+1): 9
margin <2    : n=12  exp/D: min 1.04 median 3.00 max 3.00  #tables with off-path expansions (exp_final > D+1): 12
margin <10   : n=12  exp/D: min 1.15 median 3.00 max 3.00  #tables with off-path expansions (exp_final > D+1): 12
margin >=10  : n= 6  exp/D: min 1.67 median 1.78 max 1.95  #tables with off-path expansions (exp_final > D+1): 6
